0 0 0 0 0 0 0 0  2 0
0 0 0 0 0 0 0 1  3 0
0 0 0 0 0 0 1 0  3 0
0 0 0 0 0 0 1 1  1 0
0 0 0 0 0 1 0 0  5 0
0 0 0 0 1 0 0 0  0 1
0 0 0 0 1 0 1 0  1 0
0 0 0 0 1 1 0 0  1 0
0 0 0 0 1 1 0 1  1 0
0 0 0 0 1 1 1 1  1 0
0 0 0 1 0 0 0 0  3 0
0 0 0 1 0 0 1 1  1 0
0 0 0 1 0 1 1 0  1 0
0 0 0 1 1 0 1 0  1 0
0 0 0 1 1 1 0 0  1 0
0 0 1 0 0 0 0 0  7 0
0 0 1 0 0 0 0 1  1 0
0 0 1 0 0 0 1 0  1 0
0 0 1 0 1 0 0 1  1 0
0 0 1 1 0 0 1 0  1 0
0 0 1 1 0 1 0 0  1 0
0 0 1 1 0 1 1 0  1 0
0 1 0 0 0 1 0 1  2 0
0 1 0 0 1 0 0 0  2 0
0 1 0 1 0 0 1 1  0 1
0 1 0 1 0 1 1 0  1 0
0 1 0 1 1 0 1 0  1 0
0 1 0 1 1 1 1 1  0 3
0 1 1 0 0 0 1 0  2 0
0 1 1 0 0 1 0 0  2 0
0 1 1 0 1 1 1 1  0 1
0 1 1 1 1 1 1 1  0 4
1 0 0 0 0 0 0 0  2 0
1 0 0 0 0 0 1 0  1 0
1 0 0 0 0 1 0 0  2 0
1 0 0 0 0 1 0 1  1 0
1 0 0 0 0 1 1 0  1 0
1 0 0 0 1 1 0 0  1 0
1 0 0 0 1 1 0 1  1 0
1 0 0 1 0 0 1 0  1 0
1 0 0 1 0 1 0 1  1 0
1 0 0 1 1 1 1 1  0 1
1 0 1 0 0 0 0 0  2 0
1 0 1 0 0 0 1 1  1 0
1 0 1 0 0 1 0 0  1 0
1 0 1 1 1 0 1 1  1 0
1 0 1 1 1 1 0 0  0 1
1 0 1 1 1 1 0 1  0 1
1 0 1 1 1 1 1 1  0 8
1 1 0 0 1 0 0 1  1 0
1 1 0 0 1 0 1 1  0 1
1 1 0 0 1 1 0 1  0 1
1 1 0 0 1 1 1 1  0 1
1 1 0 1 0 1 1 1  0 1
1 1 0 1 1 0 1 1  0 1
1 1 0 1 1 1 1 1  0 5
1 1 1 0 0 0 0 1  1 0
1 1 1 0 1 0 0 0  1 0
1 1 1 0 1 0 1 1  0 1
1 1 1 0 1 1 1 1  0 4
1 1 1 1 0 0 1 1  0 1
1 1 1 1 0 1 1 1  0 11
1 1 1 1 1 0 0 1  0 2
1 1 1 1 1 0 1 1  1 11
1 1 1 1 1 1 0 0  0 1
1 1 1 1 1 1 0 1  0 5
1 1 1 1 1 1 1 0  0 5
1 1 1 1 1 1 1 1  0 164
